nohup: ignoring input
[env] device=cuda cuda=True
[optim] Using AdamW, base lr=0.0003
Epoch 5 It 3600/4492 | lr=0.000240093 | loss=443.1385
Epoch 5 It 3700/4492 | lr=0.000241207 | loss=690.1120
Epoch 5 It 3800/4492 | lr=0.00024232 | loss=609.2579
Epoch 5 It 3900/4492 | lr=0.000243433 | loss=527.0156
Epoch 5 It 4000/4492 | lr=0.000244546 | loss=308.2469
Epoch 5 It 4100/4492 | lr=0.000245659 | loss=2168.8020
Epoch 5 It 4200/4492 | lr=0.000246772 | loss=3316.0322
Epoch 5 It 4300/4492 | lr=0.000247885 | loss=540.1530
Epoch 5 It 4400/4492 | lr=0.000248998 | loss=406.7885
[epoch 5] train_loss=1627.9451 train_mae=17.5699
[ckpt] saved checkpoints_single/ctcf_ep5.pt
Epoch 6 It 0/4492 | lr=0.000250022 | loss=1169.9634
Epoch 6 It 100/4492 | lr=0.000251135 | loss=1807.9761
Epoch 6 It 200/4492 | lr=0.000252248 | loss=1682.7025
Epoch 6 It 300/4492 | lr=0.000253362 | loss=3294.0925
Epoch 6 It 400/4492 | lr=0.000254475 | loss=941.6649
Epoch 6 It 500/4492 | lr=0.000255588 | loss=2647.1814
Epoch 6 It 600/4492 | lr=0.000256701 | loss=1122.8054
Epoch 6 It 700/4492 | lr=0.000257814 | loss=1095.9408
Epoch 6 It 800/4492 | lr=0.000258927 | loss=1237.0103
Epoch 6 It 900/4492 | lr=0.00026004 | loss=1801.8489
Epoch 6 It 1000/4492 | lr=0.000261153 | loss=1140.9707
Epoch 6 It 1100/4492 | lr=0.000262266 | loss=620.7324
Epoch 6 It 1200/4492 | lr=0.000263379 | loss=1279.4933
Epoch 6 It 1300/4492 | lr=0.000264492 | loss=2643.1831
Epoch 6 It 1400/4492 | lr=0.000265606 | loss=1761.8563
Epoch 6 It 1500/4492 | lr=0.000266719 | loss=1051.0471
Epoch 6 It 1600/4492 | lr=0.000267832 | loss=1513.0472
Epoch 6 It 1700/4492 | lr=0.000268945 | loss=403.5928
Epoch 6 It 1800/4492 | lr=0.000270058 | loss=786.8591
Epoch 6 It 1900/4492 | lr=0.000271171 | loss=1741.2653
Epoch 6 It 2000/4492 | lr=0.000272284 | loss=3593.7222
Epoch 6 It 2100/4492 | lr=0.000273397 | loss=1259.3558
Epoch 6 It 2200/4492 | lr=0.00027451 | loss=727.2112
Epoch 6 It 2300/4492 | lr=0.000275623 | loss=638.7346
Epoch 6 It 2400/4492 | lr=0.000276736 | loss=984.6058
Epoch 6 It 2500/4492 | lr=0.00027785 | loss=1079.2916
Epoch 6 It 2600/4492 | lr=0.000278963 | loss=3416.3706
Epoch 6 It 2700/4492 | lr=0.000280076 | loss=974.5235
Epoch 6 It 2800/4492 | lr=0.000281189 | loss=532.5701
Epoch 6 It 2900/4492 | lr=0.000282302 | loss=497.7466
Epoch 6 It 3000/4492 | lr=0.000283415 | loss=679.0701
Epoch 6 It 3100/4492 | lr=0.000284528 | loss=1158.1920
Epoch 6 It 3200/4492 | lr=0.000285641 | loss=603.5925
Epoch 6 It 3300/4492 | lr=0.000286754 | loss=2251.9661
Epoch 6 It 3400/4492 | lr=0.000287867 | loss=543.6951
Epoch 6 It 3500/4492 | lr=0.00028898 | loss=1000.5298
Epoch 6 It 3600/4492 | lr=0.000290093 | loss=1063.7001
Epoch 6 It 3700/4492 | lr=0.000291207 | loss=1835.2523
Epoch 6 It 3800/4492 | lr=0.00029232 | loss=749.4786
Epoch 6 It 3900/4492 | lr=0.000293433 | loss=1199.3275
Epoch 6 It 4000/4492 | lr=0.000294546 | loss=2097.5713
Epoch 6 It 4100/4492 | lr=0.000295659 | loss=822.9592
Epoch 6 It 4200/4492 | lr=0.000296772 | loss=567.5197
Epoch 6 It 4300/4492 | lr=0.000297885 | loss=1134.9142
Epoch 6 It 4400/4492 | lr=0.000298998 | loss=427.9246
[epoch 6] train_loss=1437.2664 train_mae=17.2103
[ckpt] saved checkpoints_single/ctcf_ep6.pt
